file,column,type,non_missing,missing,unique_categories,mean,min,max,top_values
analysis/affirmed_attributes_eval4paper.csv,attribute,categorical,70,0,70,,,,nlp|yes|abnormal (1) | nlp|yes|normal (1) | anatomicalfinding|yes|lung opacity (1) | anatomicalfinding|yes|atelectasis (1) | anatomicalfinding|yes|pleural effusion (1) | anatomicalfinding|yes|vascular congestion (1) | anatomicalfinding|yes|pulmonary edema/hazy opacity (1) | technicalassessment|yes|low lung volumes (1) | disease|yes|pneumonia (1) | tubesandlines|yes|enteric tube (1)
analysis/affirmed_attributes_eval4paper.csv,freq,numeric,70,0,,131.128571,1.0,1940.0,
analysis/affirmed_attributes_eval4paper.csv,TP,numeric,70,0,,120.857143,1.0,1805.0,
analysis/affirmed_attributes_eval4paper.csv,FN,numeric,70,0,,10.271429,0.0,213.0,
analysis/affirmed_attributes_eval4paper.csv,FP,numeric,70,0,,9.8,0.0,183.0,
analysis/affirmed_attributes_eval4paper.csv,precision,numeric,70,0,,0.927735,0.3333333333333333,1.0,
analysis/affirmed_attributes_eval4paper.csv,recall,numeric,70,0,,0.92658,0.5,1.0,
analysis/affirmed_attributes_eval4paper.csv,f1-score,numeric,70,0,,0.923149,0.4,1.0,
analysis/affirmed_bboxes_across_attributes_report_level.csv,bbox_name,categorical,38,0,38,,,,left lung (1) | right lung (1) | cardiac silhouette (1) | left lower lung zone (1) | mediastinum (1) | right lower lung zone (1) | right hilar structures (1) | left hilar structures (1) | upper mediastinum (1) | left costophrenic angle (1)
analysis/affirmed_bboxes_across_attributes_report_level.csv,freq,numeric,38,0,,241.552632,1.0,1453.0,
analysis/affirmed_bboxes_across_attributes_report_level.csv,TP,numeric,38,0,,222.631579,1.0,1382.0,
analysis/affirmed_bboxes_across_attributes_report_level.csv,FN,numeric,38,0,,18.921053,0.0,73.0,
analysis/affirmed_bboxes_across_attributes_report_level.csv,FP,numeric,38,0,,18.052632,0.0,128.0,
analysis/affirmed_bboxes_across_attributes_report_level.csv,precision,numeric,38,0,,0.910577,0.5,1.0,
analysis/affirmed_bboxes_across_attributes_report_level.csv,recall,numeric,38,0,,0.893471,0.5070422535211268,1.0,
analysis/affirmed_bboxes_across_attributes_report_level.csv,f1-score,numeric,38,0,,0.896285,0.6153846153846154,1.0,
analysis/object_to_attribute_relation_stats.csv,bbox,categorical,683,0,38,,,,left lung (38) | left upper lung zone (38) | right lung (38) | right upper lung zone (38) | left lower lung zone (37) | right lower lung zone (37) | left mid lung zone (36) | right mid lung zone (36) | left hilar structures (30) | right hilar structures (30)
