label_a,label_b,joint_images,phi_correlation
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|atelectasis,82434,0.508501
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|pleural effusion,75401,0.476032
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|enlarged cardiac silhouette,51005,0.218932
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|pulmonary edema/hazy opacity,37202,0.301801
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|vascular congestion,25869,0.245021
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|consolidation,18588,0.204305
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|pleural/parenchymal scarring,14796,0.180759
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|lung lesion,14154,0.176546
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|tortuous aorta,9043,-0.007666
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|linear/patchy atelectasis,13281,0.17069
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|pneumothorax,8687,0.059977
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|hyperaeration,6807,-0.012453
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|vascular calcification,7899,0.036753
anatomicalfinding|yes|lung opacity,anatomicalfinding|yes|lobar/segmental collapse,10043,0.147397
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|pleural effusion,42371,0.315929
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|enlarged cardiac silhouette,26159,0.114506
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|pulmonary edema/hazy opacity,14840,0.053948
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|vascular congestion,12149,0.095345
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|consolidation,8797,0.081705
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|pleural/parenchymal scarring,6383,0.049783
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|lung lesion,4575,-0.008177
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|tortuous aorta,4962,0.009271
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|linear/patchy atelectasis,13280,0.335635
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|pneumothorax,4940,0.051953
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|hyperaeration,2715,-0.038332
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|vascular calcification,4145,0.023725
anatomicalfinding|yes|atelectasis,anatomicalfinding|yes|lobar/segmental collapse,10019,0.288819
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|enlarged cardiac silhouette,27578,0.182304
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|pulmonary edema/hazy opacity,22706,0.276018
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|vascular congestion,12190,0.120324
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|consolidation,11201,0.182031
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|pleural/parenchymal scarring,4674,0.003301
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|lung lesion,4647,0.009899
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|tortuous aorta,2854,-0.055801
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|linear/patchy atelectasis,4488,0.014564
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|pneumothorax,5414,0.087067
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|hyperaeration,2109,-0.052123
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|vascular calcification,3344,0.002723
anatomicalfinding|yes|pleural effusion,anatomicalfinding|yes|lobar/segmental collapse,6798,0.164663
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|pulmonary edema/hazy opacity,18731,0.251047
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|vascular congestion,13550,0.220023
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|consolidation,5436,0.029438
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|pleural/parenchymal scarring,3346,-0.013011
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|lung lesion,2792,-0.029325
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|tortuous aorta,6368,0.119404
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|linear/patchy atelectasis,3967,0.028071
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|pneumothorax,1466,-0.057232
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|hyperaeration,2233,-0.01945
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|vascular calcification,4992,0.110214
anatomicalfinding|yes|enlarged cardiac silhouette,anatomicalfinding|yes|lobar/segmental collapse,2971,0.022862
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|vascular congestion,8000,0.149847
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|consolidation,4989,0.0923
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|pleural/parenchymal scarring,1659,-0.028829
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|lung lesion,1714,-0.021962
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|tortuous aorta,1427,-0.03445
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|linear/patchy atelectasis,1480,-0.027683
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|pneumothorax,1139,-0.029299
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|hyperaeration,726,-0.050578
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|vascular calcification,1982,0.020315
anatomicalfinding|yes|pulmonary edema/hazy opacity,anatomicalfinding|yes|lobar/segmental collapse,2073,0.030853
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|consolidation,2796,0.041145
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|pleural/parenchymal scarring,1143,-0.023998
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|lung lesion,1104,-0.022835
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|tortuous aorta,1626,0.008421
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|linear/patchy atelectasis,1332,-0.004699
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|pneumothorax,621,-0.034799
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|hyperaeration,523,-0.039881
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|vascular calcification,1667,0.035366
anatomicalfinding|yes|vascular congestion,anatomicalfinding|yes|lobar/segmental collapse,1314,0.016503
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|pleural/parenchymal scarring,986,-0.009346
anatomicalfinding|yes|consolidation,anatomicalfinding|yes|lung lesion,1529,0.029593
